train_acc,test_acc
0.393694,0.409449
0.451351,0.425197
0.400000,0.330709
0.262162,0.299213
0.489189,0.456693
0.481982,0.480315
0.500000,0.511811
0.486486,0.496063
0.494595,0.496063
0.496396,0.480315
0.503604,0.511811
0.487387,0.456693
0.493694,0.488189
0.501802,0.511811
0.482883,0.496063
0.477477,0.496063
0.503604,0.519685
0.497297,0.480315
0.468468,0.448819
0.509009,0.527559
0.500000,0.535433
0.498198,0.519685
0.499099,0.472441
0.492793,0.488189
0.484685,0.440945
0.501802,0.519685
0.505405,0.503937
0.500901,0.503937
0.509009,0.519685
0.509910,0.472441
0.507207,0.496063
0.509910,0.503937
0.512613,0.535433
0.514414,0.519685
0.518919,0.503937
0.524324,0.527559
0.509009,0.503937
0.514414,0.496063
0.508108,0.488189
0.522523,0.511811
0.512613,0.511811
0.514414,0.511811
0.519820,0.480315
0.516216,0.496063
0.518919,0.496063
0.515315,0.496063
0.534234,0.511811
0.509009,0.503937
0.513514,0.511811
0.511712,0.496063
0.525225,0.496063
0.529730,0.535433
0.537838,0.503937
0.529730,0.511811
0.534234,0.519685
0.537838,0.503937
0.547748,0.503937
0.536937,0.496063
0.568468,0.503937
0.545946,0.503937
0.539640,0.535433
0.535135,0.511811
0.554054,0.480315
0.547748,0.496063
0.548649,0.464567
0.554955,0.488189
0.562162,0.511811
0.536036,0.503937
0.575676,0.496063
0.541441,0.488189
0.561261,0.535433
0.538739,0.511811
0.548649,0.496063
0.568468,0.480315
0.547748,0.511811
0.552252,0.488189
0.563964,0.448819
0.546847,0.503937
0.509910,0.496063
0.558559,0.488189
0.542342,0.511811
0.565766,0.456693
0.573874,0.464567
0.562162,0.488189
0.572973,0.480315
0.568468,0.456693
0.550450,0.496063
0.581982,0.472441
0.590991,0.519685
0.583784,0.511811
0.582883,0.480315
0.589189,0.503937
0.554054,0.496063
0.557658,0.425197
0.550450,0.503937
0.616216,0.503937
0.558559,0.496063
0.591892,0.503937
0.616216,0.503937
0.600901,0.503937
0.629730,0.511811
0.639640,0.488189
0.661261,0.480315
0.659459,0.480315
0.623423,0.551181
0.657658,0.488189
0.671171,0.448819
0.663063,0.496063
0.638739,0.527559
0.664865,0.480315
0.631532,0.488189
0.677477,0.456693
0.666667,0.480315
0.668468,0.488189
0.654955,0.519685
0.678378,0.472441
0.665766,0.543307
0.693694,0.511811
0.662162,0.503937
0.668468,0.519685
0.649550,0.527559
0.650450,0.496063
0.707207,0.448819
0.699099,0.472441
0.700000,0.488189
0.690090,0.551181
0.707207,0.433071
0.663964,0.527559
0.637838,0.511811
0.718919,0.464567
0.719820,0.480315
0.714414,0.503937
0.708108,0.496063
0.736937,0.472441
0.704505,0.519685
0.719820,0.511811
0.727027,0.496063
0.725225,0.480315
0.750450,0.464567
0.738739,0.535433
0.689189,0.496063
0.750450,0.440945
0.750450,0.480315
0.740541,0.440945
0.693694,0.511811
0.701802,0.472441
0.755856,0.496063
0.719820,0.511811
0.720721,0.464567
0.753153,0.496063
0.781081,0.448819
0.770270,0.496063
0.765766,0.464567
0.778378,0.488189
0.791892,0.480315
0.792793,0.496063
0.821622,0.440945
0.803604,0.511811
0.823423,0.496063
0.792793,0.511811
0.814414,0.440945
0.820721,0.456693
0.821622,0.496063
0.825225,0.448819
0.818018,0.456693
0.830631,0.472441
0.828829,0.480315
0.830631,0.472441
0.804505,0.511811
0.833333,0.480315
0.808108,0.488189
0.824324,0.464567
0.836036,0.488189
0.818018,0.480315
0.841441,0.409449
0.838739,0.480315
0.845946,0.417323
0.809910,0.496063
0.836036,0.464567
0.843243,0.417323
0.841441,0.425197
0.849550,0.464567
0.848649,0.480315
0.866667,0.433071
0.852252,0.472441
0.854054,0.472441
0.866667,0.464567
0.859459,0.440945
0.856757,0.456693
0.857658,0.456693
0.837838,0.472441
0.865766,0.433071
0.852252,0.464567
0.864865,0.480315
0.860360,0.440945
0.861261,0.511811
0.876577,0.417323
0.863964,0.464567
0.863063,0.464567
0.873874,0.417323
