train_acc,test_acc
0.338870,0.297101
0.432724,0.362319
0.242525,0.231884
0.399502,0.347826
0.458472,0.442029
0.411130,0.405797
0.426080,0.427536
0.431063,0.391304
0.427741,0.384058
0.435216,0.405797
0.443522,0.442029
0.455980,0.442029
0.451827,0.442029
0.456811,0.449275
0.439369,0.427536
0.435216,0.449275
0.446844,0.442029
0.457641,0.427536
0.438538,0.456522
0.437708,0.413043
0.459302,0.420290
0.436047,0.413043
0.445183,0.413043
0.433555,0.434783
0.449336,0.449275
0.357973,0.333333
0.452658,0.442029
0.458472,0.434783
0.446013,0.442029
0.449336,0.405797
0.446013,0.391304
0.451827,0.420290
0.451827,0.434783
0.446013,0.413043
0.452658,0.434783
0.458472,0.427536
0.120432,0.130435
0.451827,0.405797
0.463455,0.442029
0.462625,0.434783
0.452658,0.456522
0.470930,0.442029
0.445183,0.391304
0.458472,0.449275
0.434385,0.442029
0.454319,0.420290
0.455150,0.442029
0.468439,0.442029
0.454319,0.434783
0.449336,0.442029
0.467608,0.434783
0.480066,0.413043
0.463455,0.427536
0.471761,0.456522
0.498339,0.442029
0.477575,0.427536
0.440199,0.355072
0.476744,0.434783
0.469269,0.413043
0.492525,0.442029
0.490033,0.442029
0.480066,0.427536
0.474252,0.420290
0.485880,0.413043
0.495847,0.442029
0.479236,0.405797
0.475083,0.413043
0.436877,0.362319
0.465116,0.405797
0.464286,0.442029
0.468439,0.442029
0.476744,0.420290
0.470930,0.420290
0.475083,0.442029
0.500000,0.434783
0.495847,0.449275
0.494186,0.420290
0.469269,0.442029
0.496678,0.413043
0.490864,0.442029
0.479236,0.442029
0.491694,0.434783
0.515781,0.427536
0.496678,0.413043
0.485880,0.420290
0.485880,0.449275
0.475083,0.442029
0.487542,0.391304
0.503322,0.434783
0.513289,0.427536
0.529070,0.391304
0.509967,0.434783
0.522425,0.449275
0.515781,0.463768
0.525748,0.405797
0.488372,0.449275
0.507475,0.456522
0.500000,0.434783
0.507475,0.427536
0.503322,0.391304
0.520764,0.413043
0.501661,0.420290
0.542359,0.398551
0.538206,0.405797
0.553987,0.434783
0.527409,0.413043
0.519934,0.413043
0.551495,0.405797
0.538206,0.413043
0.549834,0.413043
0.544850,0.427536
0.548173,0.413043
0.557309,0.413043
0.519103,0.434783
0.531561,0.420290
0.550664,0.413043
0.564784,0.427536
0.563953,0.427536
0.509136,0.420290
0.534053,0.434783
0.576412,0.405797
0.558140,0.427536
0.563123,0.384058
0.553156,0.420290
0.534053,0.420290
0.566445,0.391304
0.544020,0.413043
0.565615,0.376812
0.575581,0.413043
0.569767,0.398551
0.573090,0.391304
0.555648,0.405797
0.577243,0.442029
0.573920,0.398551
0.558140,0.405797
0.560631,0.420290
0.555648,0.420290
0.556478,0.413043
0.588870,0.405797
0.566445,0.398551
0.535714,0.420290
0.583887,0.376812
0.607143,0.391304
0.568937,0.413043
0.605482,0.405797
0.562292,0.405797
0.583056,0.405797
0.594684,0.391304
0.578904,0.391304
0.600498,0.405797
0.623754,0.384058
0.615449,0.391304
0.612957,0.398551
0.609635,0.384058
0.623754,0.376812
0.629568,0.398551
0.632060,0.355072
0.647010,0.391304
0.641196,0.362319
0.639535,0.384058
0.623754,0.384058
0.641196,0.391304
0.650332,0.391304
0.654485,0.413043
0.661960,0.376812
0.640365,0.420290
0.625415,0.391304
0.652824,0.376812
0.658638,0.355072
0.643688,0.369565
0.629568,0.398551
0.667774,0.362319
0.651993,0.376812
0.607143,0.413043
0.686877,0.376812
0.657807,0.391304
0.671096,0.376812
0.683555,0.376812
0.668605,0.398551
0.644518,0.405797
0.663621,0.391304
0.680233,0.405797
0.670266,0.384058
0.677741,0.384058
0.689369,0.391304
0.688538,0.398551
0.672757,0.369565
0.667774,0.384058
0.696013,0.369565
0.689369,0.398551
0.710133,0.391304
0.649502,0.398551
0.696013,0.405797
0.700166,0.384058
0.684385,0.391304
0.703488,0.376812
0.692691,0.355072
0.711794,0.384058
0.705150,0.405797
0.720930,0.355072
