epoch,training accuracy, testing accuracy
266,0.866016,0.418605
267,0.869565,0.387597
268,0.863354,0.403101
269,0.863354,0.395349
270,0.873114,0.372093
271,0.869565,0.372093
272,0.865129,0.426357
273,0.871340,0.395349
274,0.868678,0.410853
275,0.868678,0.364341
276,0.867791,0.426357
277,0.873114,0.403101
278,0.869565,0.379845
279,0.872227,0.426357
280,0.876664,0.379845
281,0.873114,0.395349
282,0.878438,0.403101
283,0.880213,0.410853
284,0.874002,0.403101
285,0.876664,0.387597
286,0.871340,0.395349
287,0.884650,0.379845
288,0.876664,0.426357
289,0.874889,0.418605
290,0.879326,0.410853
291,0.881100,0.410853
292,0.877551,0.434109
293,0.876664,0.372093
294,0.877551,0.418605
295,0.883762,0.395349
296,0.881988,0.395349
297,0.877551,0.403101
298,0.877551,0.387597
299,0.876664,0.395349
300,0.883762,0.364341
301,0.880213,0.387597
302,0.885537,0.387597
303,0.879326,0.379845
304,0.890861,0.379845
305,0.881100,0.418605
306,0.889086,0.387597
307,0.882875,0.387597
308,0.884650,0.410853
309,0.883762,0.403101
310,0.882875,0.426357
311,0.890861,0.379845
312,0.888199,0.372093
313,0.889086,0.372093
314,0.890861,0.379845
315,0.889086,0.387597
316,0.879326,0.379845
317,0.889086,0.364341
318,0.890861,0.395349
319,0.891748,0.379845
320,0.887311,0.372093
321,0.891748,0.364341
322,0.889973,0.379845
323,0.886424,0.379845
324,0.889973,0.395349
325,0.886424,0.403101
326,0.890861,0.356589
327,0.891748,0.356589
328,0.897959,0.372093
329,0.884650,0.372093
330,0.894410,0.379845
331,0.892635,0.387597
332,0.890861,0.395349
333,0.893523,0.372093
334,0.893523,0.372093
335,0.893523,0.387597
336,0.892635,0.372093
337,0.894410,0.356589
338,0.895297,0.379845
339,0.892635,0.379845
340,0.895297,0.364341
341,0.895297,0.356589
342,0.894410,0.364341
343,0.898846,0.379845
344,0.898846,0.364341
345,0.895297,0.379845
346,0.894410,0.379845
347,0.896185,0.379845
348,0.895297,0.364341
349,0.900621,0.364341
350,0.898846,0.356589
