train_acc,test_acc
0.412480,0.368794
0.440843,0.375887
0.397893,0.390071
0.478120,0.453901
0.470827,0.468085
0.470827,0.453901
0.413290,0.425532
0.424635,0.425532
0.476499,0.453901
0.428687,0.404255
0.469206,0.418440
0.455429,0.418440
0.467585,0.446809
0.470016,0.468085
0.485413,0.439716
0.376013,0.375887
0.480551,0.460993
0.474878,0.453901
0.478930,0.453901
0.444895,0.375887
0.450567,0.368794
0.481361,0.453901
0.474068,0.439716
0.479741,0.432624
0.484603,0.453901
0.474878,0.446809
0.487844,0.418440
0.452188,0.404255
0.488655,0.439716
0.437601,0.418440
0.455429,0.432624
0.475689,0.418440
0.440032,0.397163
0.482172,0.411348
0.479741,0.446809
0.410049,0.368794
0.478120,0.468085
0.478930,0.453901
0.462723,0.390071
0.452998,0.425532
0.431929,0.425532
0.483793,0.460993
0.481361,0.468085
0.484603,0.453901
0.460292,0.453901
0.453809,0.397163
0.479741,0.460993
0.481361,0.432624
0.482172,0.439716
0.471637,0.446809
0.481361,0.460993
0.494327,0.425532
0.488655,0.446809
0.476499,0.468085
0.489465,0.453901
0.473258,0.439716
0.437601,0.397163
0.474878,0.432624
0.491086,0.460993
0.486224,0.418440
0.460292,0.397163
0.493517,0.468085
0.495138,0.446809
0.488655,0.453901
0.481361,0.446809
0.478930,0.453901
0.491086,0.453901
0.489465,0.439716
0.494327,0.453901
0.495138,0.404255
0.495138,0.439716
0.489465,0.453901
0.474068,0.453901
0.501621,0.432624
0.485413,0.432624
0.495138,0.432624
0.480551,0.432624
0.497569,0.418440
0.489465,0.425532
0.491086,0.439716
0.495948,0.439716
0.499190,0.439716
0.483793,0.439716
0.498379,0.439716
0.496759,0.439716
0.499190,0.453901
0.508914,0.446809
0.502431,0.432624
0.495138,0.446809
0.514587,0.439716
0.500000,0.425532
0.512966,0.432624
0.509724,0.475177
0.498379,0.446809
0.508914,0.453901
0.521070,0.425532
0.486224,0.460993
0.495138,0.432624
0.476499,0.453901
0.484603,0.468085
0.486224,0.460993
0.503241,0.446809
0.491086,0.439716
0.500810,0.460993
0.498379,0.446809
0.495948,0.446809
0.491896,0.460993
0.500000,0.453901
0.498379,0.439716
0.501621,0.425532
0.495138,0.446809
0.501621,0.432624
0.500000,0.496454
0.495138,0.460993
0.506483,0.460993
0.503241,0.482270
0.497569,0.468085
0.510535,0.425532
0.506483,0.468085
0.517018,0.418440
0.527553,0.432624
0.523501,0.453901
0.506483,0.460993
0.517018,0.453901
0.510535,0.460993
0.525122,0.439716
0.514587,0.432624
0.528363,0.468085
0.520259,0.432624
0.503241,0.446809
0.522690,0.460993
0.532415,0.418440
0.529984,0.446809
0.535656,0.439716
0.542950,0.432624
0.537277,0.460993
0.530794,0.475177
0.532415,0.418440
0.529984,0.432624
0.539708,0.418440
0.520259,0.453901
0.538088,0.453901
0.534846,0.460993
0.529984,0.446809
0.531605,0.439716
0.546191,0.432624
0.551053,0.446809
0.555105,0.460993
0.549433,0.404255
0.547002,0.432624
0.555105,0.432624
0.555105,0.453901
0.561588,0.453901
0.557536,0.453901
0.576175,0.453901
0.565640,0.446809
0.547812,0.446809
0.565640,0.453901
0.586710,0.460993
0.554295,0.446809
0.572934,0.446809
0.566451,0.460993
0.587520,0.439716
0.571313,0.460993
0.554295,0.453901
0.590762,0.439716
0.585900,0.439716
0.570502,0.425532
0.567261,0.432624
0.572123,0.446809
0.603728,0.425532
0.565640,0.446809
0.594003,0.453901
0.590762,0.439716
0.564019,0.453901
0.575365,0.439716
0.580227,0.446809
0.589951,0.425532
0.598055,0.446809
0.571313,0.453901
0.592382,0.439716
0.578606,0.453901
0.602917,0.446809
0.607780,0.439716
0.602107,0.446809
0.588331,0.468085
0.594003,0.453901
0.605348,0.446809
0.615883,0.439716
0.591572,0.468085
0.611831,0.425532
0.612642,0.432624
0.614263,0.432624
0.632091,0.411348
0.628039,0.425532
0.617504,0.425532
0.599676,0.397163
0.628849,0.425532
0.614263,0.418440
0.604538,0.453901
